Cutoff,Gap
0.0,0.04179999999999939
0.5,0.04219999999999935
1.0,0.04560000000000031
1.5,0.053599999999999426
2.0,0.05970000000000031
2.5,0.05519999999999925
3.0,0.045700000000000074
3.5,0.03780000000000072
4.0,0.0343
1.6,0.05550000000000033
1.7,0.05710000000000015
1.8,0.058399999999999785
1.9,0.05930000000000035
2.1,0.05959999999999965
2.2,0.05909999999999993
2.3,0.058099999999999596
2.4,0.056700000000000195
